name,ring,quadrant,isNew,description
Agile Scrum,Adopt,Practices and Techniques,FALSE,
Team Agreements,Adopt,Practices and Techniques,FALSE,
Pair Programming,Adopt,Practices and Techniques,FALSE,
Continious Integration,Adopt,Practices and Techniques,FALSE,
Release Trains,Adopt,Practices and Techniques,FALSE,
A/B Tests,Adopt,Practices and Techniques,FALSE,
Project Modularisation,Adopt,Practices and Techniques,FALSE,
Styleguide / Design System,Adopt,Practices and Techniques,FALSE,
UI/UX Research,Adopt,Practices and Techniques,FALSE,
Design sprints,Assess,Practices and Techniques,FALSE,
UI Tests,Adopt,Practices and Techniques,FALSE,
Unit Tests,Adopt,Practices and Techniques,FALSE,
Zero bug policy,Adopt,Practices and Techniques,FALSE,
MVVM,Adopt,Practices and Techniques,FALSE,
Kotlin,Adopt,Languages,FALSE,
Gradle Groovy,Adopt,Languages,FALSE,
Shell,Adopt,Languages,FALSE,
Gitlab,Adopt,Infrastructure,FALSE,
Gitlab CI,Adopt,Infrastructure,FALSE,
Gradle Enterprise,Adopt,Infrastructure,FALSE,
AWS S3,Assess,Infrastructure,TRUE,
AWS Cloudfront,Assess,Infrastructure,TRUE,
Terraform,Assess,Infrastructure,TRUE,
Databinding,Adopt,Tools and Libraries,FALSE,
Dagger2,Adopt,Tools and Libraries,FALSE,
Kotlin Coroutines,Adopt,Tools and Libraries,FALSE,
OkHttp,Adopt,Tools and Libraries,FALSE,
Retrofit,Adopt,Tools and Libraries,FALSE,
Moshi,Adopt,Tools and Libraries,FALSE,
Lottie,Adopt,Tools and Libraries,FALSE,
Google Pay,Adopt,Tools and Libraries,FALSE,
Adyen,Adopt,Tools and Libraries,FALSE,
Braintree,Adopt,Tools and Libraries,FALSE,
Material Design Components,Adopt,Tools and Libraries,FALSE,
Jetpack,Adopt,Tools and Libraries,FALSE,
Firebase Analytics,Adopt,Tools and Libraries,FALSE,
Firebase Crashlytics,Adopt,Tools and Libraries,FALSE,
Snowplow,Adopt,Tools and Libraries,FALSE,
Adjust,Adopt,Tools and Libraries,FALSE,
Detekt,Adopt,Tools and Libraries,FALSE,
KtLint,Adopt,Tools and Libraries,FALSE,
Screengrab,Adopt,Tools and Libraries,FALSE,
Espresso,Adopt,Tools and Libraries,FALSE,
Mockito,Adopt,Tools and Libraries,FALSE,
Truth,Adopt,Tools and Libraries,FALSE,
Robolectric,Assess,Tools and Libraries,FALSE,
