name,ring,quadrant,isNew,description
Scrum,Adopt,Techniques,false,""
Pair Programming,Adopt,Techniques,false,""
Ensemble Programming,Adopt,Techniques,false,""
Architecture Decision Records,Adopt,Techniques,false,""
Domain-Driven Design,Adopt,Techniques,false,""
Self-Contained Systems,Adopt,Techniques,false,""
Continuous Delivery,Adopt,Techniques,false,""
Team Working Agreements,Adopt,Techniques,false,""
Test-Driven Development,Assess,Techniques,false,""
Amazon RDS,Adopt,Infrastructure,false,""
Amazon SNS/SQS,Adopt,Infrastructure,false,""
Amazon S3,Adopt,Infrastructure,false,""
Amazon CloudFront,Adopt,Infrastructure,false,""
Kubernetes,Adopt,Infrastructure,false,""
Apache Kafka,Adopt,Infrastructure,false,""
Amazon ElastiCache,Hold,Infrastructure,false,""
RabbitMQ,Hold,Infrastructure,false,""
PHP 7,Adopt,languages and frameworks,false,""
MySQL,Adopt,languages and frameworks,false,""
Symfony,Adopt,languages and frameworks,false,""
Doctrine,Hold,languages and frameworks,false,""
Java,Adopt,languages and frameworks,false,""
Shell Scripting,Adopt,languages and frameworks,false,""
Python,Assess,languages and frameworks,false,""
PHPUnit,Adopt,languages and frameworks,false,""
Behat,Adopt,languages and frameworks,false,""
Gherkin,Adopt,languages and frameworks,false,""
TypeScript,Adopt,languages and frameworks,false,""
JavaScript,Adopt,languages and frameworks,false,""
ReactJS,Adopt,languages and frameworks,false,""
Static Code Analysis,Adopt,Tools,false,""
Redis,Hold,Tools,false,""
Redux,Adopt,Tools,false,""
TestCafe,Hold,Tools,false,""
Jest,Adopt,Tools,false,""
Composer,Adopt,Tools,false,""
Yarn,Adopt,Tools,false,""
Terraform,Adopt,Tools,false,""
Docker,Adopt,Tools,false,""
Docker-Compose,Adopt,Tools,false,""
Grafana,Hold,Tools,false,""
Prometheus,Hold,Tools,false,""
Graylog,Hold,Tools,false,""
New Relic,Hold,Tools,false,""
Data Dog,Adopt,Tools,false,""
GitLab,Adopt,Tools,false,""
Jenkins,Hold,Tools,false,""
