name                         ,ring   ,quadrant                ,isNew,description
Amazon Web Services          ,adopt  ,Infrastructure          ,FALSE,""
Apache Kafka                 ,adopt  ,Infrastructure          ,FALSE,""
Architecture Decision Records,adopt  ,Practices               ,FALSE,""
Continuous Delivery          ,adopt  ,Practices               ,FALSE,""
DataDog                      ,adopt  ,Tools                   ,FALSE,""
Docker                       ,adopt  ,Tools                   ,FALSE,""
Domain-Driven Design         ,adopt  ,Practices               ,FALSE,""
GitLab                       ,adopt  ,Tools                   ,FALSE,""
JavaScript                   ,adopt  ,Languages and Frameworks,FALSE,""
Kubernetes                   ,adopt  ,Infrastructure          ,FALSE,""
Pair/Mob Programming         ,adopt  ,Practices               ,FALSE,""
PostgreSQL                   ,adopt  ,Infrastructure          ,FALSE,""
Python                       ,adopt  ,Languages and Frameworks,FALSE,""
ReactJS                      ,explore,Languages and Frameworks,FALSE,""
Self-Contained Systems       ,adopt  ,Practices               ,FALSE,""
Shell Scripting              ,adopt  ,Languages and Frameworks,FALSE,""
Static Code Analysis         ,adopt  ,Tools                   ,FALSE,""
Terraform                    ,adopt  ,Infrastructure          ,FALSE,""
Terragrunt                   ,adopt  ,Tools                   ,FALSE,""
Test-Driven Development      ,explore,Practices               ,FALSE,""
